strain	accession	country	date
KU296520	KU296520	Sierra-Leone	2015-04-06
KU296645	KU296645	Sierra-Leone	2015-02-28
KU296398	KU296398	Sierra-Leone	2014-12-22
KU296361	KU296361	Sierra-Leone	2015-01-08
KU296612	KU296612	Sierra-Leone	2015-03-23
KU296728	KU296728	Sierra-Leone	2015-02-12
KU296776	KU296776	Sierra-Leone	2014-12-09
KU220274	KU220274	Liberia	2015-07-07
KR006960	KR006960	Liberia	2015-01-20
KU296685	KU296685	Sierra-Leone	2015-06-01
KU296384	KU296384	Sierra-Leone	2015-01-10
LT630584	LT630584	Guinea	2015-06-16
KX009912	KX009912	Liberia	2014-11-25
KR105211	KR105211	Sierra-Leone	2014-06-25
KU296844	KU296844	Sierra-Leone	2015-04-04
KR817131	KR817131	Guinea	2014-08-29
KU296640	KU296640	Sierra-Leone	2015-02-24
KT725347	KT725347	Liberia	2014-08-26
KT013256	KT013256	Guinea	2014-03-20
KR817142	KR817142	Guinea	2014-10-18
KU296804	KU296804	Sierra-Leone	2015-06-09
KR817184	KR817184	Guinea	2014-03-31
KX009902	KX009902	Liberia	2014-09-16
KU296417	KU296417	Sierra-Leone	2015-06-08
KU296440	KU296440	Sierra-Leone	2015-06-24
KX009904	KX009904	Liberia	2014-10-10
KR105333	KR105333	Sierra-Leone	2014-09-25
KU296578	KU296578	Sierra-Leone	2015-02-25
KR534575	KR534575	Guinea	2014-10-15
KU296744	KU296744	Sierra-Leone	2015-03-24
KU296562	KU296562	Sierra-Leone	2015-02-25
KR819004	KR819004	DRC	2014-08-16
KT587344	KT587344	Liberia	2015-03-27
KM519951	KM519951	DRC	2014-XX-XX
KU296607	KU296607	Sierra-Leone	2015-02-02
KT725381	KT725381	Liberia	2014-08-26
KT587346	KT587346	Liberia	2014-09-05
KX000399	KX000399	Guinea	2014-03-10
KU296553	KU296553	Sierra-Leone	2015-02-16
